GeneID;Base.mean;log2.FC.;StdErr;Wald.Stats;P.value;P.adj
392364;14.58401981;-1.943041629;0.656293847;-2.960627526;0.00307013;0.609543972
8529;1676.967145;-2.478892358;0.846216156;-2.929384343;0.003396342;0.627795646
6948;2493.84745;-1.62722572;0.556802404;-2.922447368;0.003472923;0.635778684
83882;17.19642006;-3.095381818;1.061498593;-2.916048914;0.003544949;0.638578379
7037;9604.786955;1.655202219;0.567795228;2.915139361;0.003555297;0.638578379
84059;180.2659584;2.028984777;0.69897097;2.902816947;0.003698227;0.658042523
283358;380.926651;2.083460547;0.720983527;2.889747782;0.00385551;0.658319
374454;6.862346807;-4.641916238;1.613290559;-2.877297095;0.004010978;0.658319
2877;1829.497876;1.197863893;0.413762883;2.895049176;0.003790991;0.658319
4495;1256.027789;-1.520222752;0.525935545;-2.890511522;0.003846154;0.658319
7084;745.9538099;-0.97359958;0.3380496;-2.880049498;0.003976127;0.658319
4680;3758.4623;3.161470447;1.095621361;2.885550209;0.003907301;0.658319
6092;199.3515738;-1.672273447;0.577139466;-2.897520523;0.003761251;0.658319
23552;270.7717999;-1.436282273;0.499049198;-2.878037434;0.004001577;0.658319
375759;4.84655389;3.392047226;1.176547327;2.883052087;0.003938423;0.658319
4925;869.8552557;0.979186779;0.342767442;2.856708832;0.004280583;0.667979077
6688;171.5026873;-1.852291712;0.650956656;-2.845491623;0.004434293;0.667979077
57379;129.6147269;-4.616896553;1.624836681;-2.841452687;0.004490852;0.667979077
9365;182.0031787;-1.239232304;0.4323841;-2.866045034;0.004156351;0.667979077
147093;20.80390531;-2.674150308;0.939688408;-2.845784075;0.004430222;0.667979077
84514;437.1161968;-1.260529611;0.440022232;-2.864695279;0.004174107;0.667979077
2548;681.4489353;-0.775898528;0.272894861;-2.843214142;0.004466105;0.667979077
3755;126.0301782;-1.748133736;0.613801719;-2.848043077;0.004398897;0.667979077
28791;11.49319735;-2.744231083;0.960815425;-2.856148029;0.004288152;0.667979077
641364;13.61417834;1.893947908;0.662148787;2.860305636;0.004232329;0.667979077
3663;375.3154427;-1.321190011;0.462968791;-2.8537345;0.004320863;0.667979077
56159;28.5881862;2.894351054;1.011764349;2.860696819;0.004227111;0.667979077
101928001;48.62557864;1.359112064;0.479032797;2.837200444;0.004551103;0.671693418
4804;63.8620797;-2.785538118;0.984284299;-2.830013768;0.0046546;0.681684088
9235;1703.145321;-1.360545883;0.481366977;-2.826421313;0.004707131;0.683011106
4629;9.937817488;2.845174066;1.00818231;2.822082909;0.004771284;0.683011106
9058;461.3398381;-1.579317998;0.559444162;-2.823012741;0.004757468;0.683011106
9679;2461.781334;-0.842838353;0.29981432;-2.811201121;0.004935692;0.692112183
5341;901.0631049;-1.966841778;0.698965495;-2.81393258;0.004893949;0.692112183
9427;12.39174583;-2.70203393;0.962722254;-2.806659885;0.005005806;0.692112183
6640;118.1392747;-1.120587087;0.399358976;-2.805964442;0.005016623;0.692112183
105377170;6.151419598;-3.476094266;1.238181773;-2.80741838;0.004994033;0.692112183
6752;91.29486572;-1.504891498;0.538618022;-2.793986527;0.005206265;0.713108454
2771;1595.616245;-1.491578258;0.534757926;-2.789258814;0.005282883;0.718434336
2346;1988.029611;4.906712511;1.762858243;2.783384615;0.005379499;0.7231376
5104;112.7898495;-3.123216326;1.122431386;-2.782545433;0.005393431;0.7231376
290;26550.61847;-1.896183896;0.683522425;-2.774135603;0.00553486;0.736910513
123803;6.551592075;2.166973745;0.783371405;2.766215016;0.005671113;0.739544424
136;114.1509504;1.784329235;0.645044402;2.766211489;0.005671174;0.739544424
130612;127.116014;-1.602541977;0.578976167;-2.767889366;0.00564206;0.739544424
28444;26.96039755;2.064384988;0.748108786;2.759471654;0.005789491;0.743378731
10518;169.3258689;-1.496516086;0.542517261;-2.75846723;0.005807313;0.743378731
5914;380.5082526;-0.979686042;0.355231263;-2.757882382;0.005817713;0.743378731
6289;23.44797709;2.983317684;1.083211042;2.754142607;0.005884612;0.746914198
6288;29.88121118;3.480450658;1.270617754;2.739179937;0.006159265;0.748243093
55703;353.2050576;0.785551087;0.285937772;2.747279882;0.006009183;0.748243093
4494;482.5157949;-1.569207662;0.572935458;-2.738890812;0.006164684;0.748243093
100996425;26.61739276;-2.557414819;0.936635085;-2.730428169;0.006325212;0.748243093
140467;130.7399283;-1.519595702;0.555342356;-2.736322354;0.006213013;0.748243093
84914;1130.98797;0.975111928;0.357024138;2.731221297;0.006310009;0.748243093
54976;191.2387623;-1.443279853;0.528612989;-2.730314772;0.006327388;0.748243093
2297;61.45753142;-3.04034524;1.112716702;-2.732362364;0.006288194;0.748243093
9096;10.96906573;-1.862958494;0.678415523;-2.746043436;0.006031878;0.748243093
4217;1496.80562;0.564382524;0.205241486;2.749846214;0.005962324;0.748243093
4603;320.210506;-1.512689931;0.553953804;-2.730714943;0.006319711;0.748243093
124359;614.7374614;-1.028482982;0.377956871;-2.721164932;0.00650523;0.750624644
2879;2233.035723;-1.138910016;0.418238418;-2.723111907;0.006467015;0.750624644
57026;622.1593797;-1.080494547;0.396816932;-2.722904343;0.006471079;0.750624644
6373;60.81725876;-2.270333619;0.833770838;-2.722970767;0.006469778;0.750624644
4501;574.4727196;-1.538626611;0.566195083;-2.717484938;0.006578015;0.75445076
284367;12.80377935;-1.878487111;0.691812754;-2.715311478;0.006621346;0.754873123
3671;268.6025798;-2.113786402;0.781778167;-2.703818668;0.006854769;0.769552283
113835;46.62300759;-1.742303886;0.644577944;-2.703015054;0.006871363;0.769552283
79792;57.2322213;2.895640786;1.070007926;2.706186295;0.006806085;0.769552283
9200;18.82161745;1.48001005;0.549286127;2.694424597;0.007051028;0.771391846
256586;198.4053518;-1.473030827;0.547148967;-2.692193377;0.007098377;0.771391846
